id,event,day,instance,enrollmentgroup,completed,date,time,time_participant,time_interval,positive_score,negative_score,positive_SD,negative_SD,positive_mean,negative_mean
12040,1,1,1,0,1,1/9/2022,6:20:25 AM,7:20:25 AM,,24,12,26,3,28,15.2
12040,1,2,6,0,1,1/10/2022,7:05:03 AM,8:05:03 AM,,31,15,2,2,33.6,17.4
12041,1,2,6,0,1,1/7/2022,8:41:11 AM,9:41:11 AM,,21,20,11,0,18.6,14.6
12041,2,6,11,0,0,,,,0:00:00,,,0,0,20.25,16
12041,3,9,11,0,1,3/12/2022,8:41:06 AM,9:41:06 AM,,19,18,2,1,18,15.75
12041,1,1,1,0,1,1/6/2022,8:08:52 AM,9:08:52 AM,,25,18,3,2,20.5,14.75
12041,1,3,11,0,1,1/8/2022,8:20:07 AM,9:20:07 AM,,17,13,2,3,21,15.6
12041,3,7,1,0,1,3/10/2022,7:41:55 AM,8:41:55 AM,,22,16,9,3,20.25,17.25
12041,3,8,6,0,1,3/11/2022,8:44:29 AM,9:44:29 AM,,28,15,1,0,24,18.25
12041,2,5,6,0,1,2/11/2022,7:19:35 AM,8:19:35 AM,8:19:35,30,21,30,21,30.2,16
12041,2,4,1,0,1,2/10/2022,8:25:48 AM,9:25:48 AM,,30,20,0,4,31.4,19
12043,1,1,1,1,1,1/6/2022,8:38:41 AM,8:38:41 AM,,18,14,6,2,15.4,12.4
12043,2,6,11,1,1,2/15/2022,8:37:49 AM,8:37:49 AM,,12,19,16,5,14.5,13.5
12043,1,3,11,1,1,1/8/2022,9:35:54 AM,9:35:54 AM,,10,12,5,1,15.4,16
12043,1,2,6,1,1,1/7/2022,8:22:20 AM,8:22:20 AM,,17,13,6,0,17.6,13.2
12043,3,7,1,1,1,3/10/2022,8:21:04 AM,8:21:04 AM,,23,15,9,7,18.6,14
12043,2,5,6,1,1,2/14/2022,7:42:21 AM,7:42:21 AM,,10,13,16,4,16,19
12043,3,8,6,1,1,3/11/2022,8:39:16 AM,8:39:16 AM,,23,16,3,1,22,16
12043,3,9,11,1,1,3/12/2022,7:42:28 AM,7:42:28 AM,,22,15,3,3,21.25,14.25
12043,2,4,1,1,1,2/13/2022,8:25:29 AM,8:25:29 AM,,23,16,12,1,22,17.4
12044,1,2,6,0,1,3/25/2022,8:49:07 AM,8:49:07 AM,,18,28,1,14,20.6,17
12044,1,3,11,0,1,3/26/2022,8:34:56 AM,8:34:56 AM,,12,19,18,7,20.5,17.5
12044,2,4,1,0,1,5/12/2022,9:09:53 AM,9:09:53 AM,,31,18,4,5,26.6,18.2
12044,3,7,1,0,1,6/19/2022,7:09:47 AM,7:09:47 AM,,24,23,9,9,25.2,19.6
12044,1,1,1,0,1,3/24/2022,8:46:32 AM,8:46:32 AM,8:46:32,28,21,28,21,28,16
12044,2,6,11,0,0,,,,,,,31,14,29,18.25
12044,2,5,6,0,1,5/13/2022,8:27:50 AM,8:27:50 AM,,22,19,5,2,30,16.2
12044,3,8,6,0,1,6/20/2022,8:32:29 AM,8:32:29 AM,,13,12,17,3,28.8,16
12044,3,9,11,0,1,6/21/2022,9:06:24 AM,9:06:24 AM,,34,17,3,3,34.8,17.8
12045,1,2,6,1,1,3/28/2022,8:02:26 AM,9:02:26 AM,9:02:26,17,14,17,14,16.5,12.5
12045,2,5,6,1,1,5/2/2022,7:08:22 AM,8:08:22 AM,,14,11,9,1,18.8,13.2
12045,1,3,11,1,1,3/29/2022,7:48:01 AM,8:48:01 AM,,19,14,6,1,18.6,13.2
12045,2,6,11,1,1,5/3/2022,8:14:29 AM,9:14:29 AM,,20,15,7,4,18.5,13
12045,3,9,11,1,1,6/7/2022,8:01:49 AM,9:01:49 AM,,22,14,7,2,18.6,14.6
12045,3,8,6,1,1,6/6/2022,7:18:52 AM,8:18:52 AM,,19,13,4,2,16.75,16.5
12045,3,7,1,1,1,6/5/2022,7:26:38 AM,8:26:38 AM,,19,13,5,1,20.2,16.2
